"","Date","Open","High","Low","Close","Adjusted_close","Volume"
"1","2019-08-02",255.07,255.51,252.17,252.17,252.17,10747
"2","2019-08-01",258.68,261.185,258.68,261.185,261.185,767
"3","2019-07-31",259.12,259.75,258.985,259.75,259.75,6308
"4","2019-07-30",260.26,260.26,259.215,259.355,259.355,591
"5","2019-07-29",260.395,260.395,259.905,260.035,260.035,1485
"6","2019-07-26",259.08,260.65,259.08,260.65,260.65,0
"7","2019-07-25",260.28,261.09,258.585,258.585,258.585,3622
"8","2019-07-24",258.23,258.655,258.23,258.655,258.655,0
"9","2019-07-23",256.29,257.14,256.29,257.14,257.14,0
"10","2019-07-22",254.475,254.675,254.475,254.675,254.675,0
"11","2019-07-19",255.68,256.215,255.68,256.215,256.215,0
"12","2019-07-18",253.805,254.83,253.805,254.275,254.275,785
"13","2019-07-17",257.28,257.28,255.795,255.795,255.795,0
"14","2019-07-16",256.83,257.405,256.83,257.405,257.405,0
"15","2019-07-15",256.485,256.485,256.415,256.415,256.415,0
"16","2019-07-12",255.55,256.18,255.55,256.18,256.18,0
"17","2019-07-11",255.205,255.405,255.16,255.405,255.405,1
"18","2019-07-10",254.08,254.69,254.08,254.69,254.69,0
"19","2019-07-09",253.175,254.265,253.175,254.265,254.265,0
"20","2019-07-08",254.4,254.4,254.115,254.115,254.115,101
"21","2019-07-05",254.795,254.795,254.45,254.45,254.45,20
"22","2019-07-04",254.365,254.81,254.365,254.725,254.725,4400
"23","2019-07-03",252.655,253.94,252.655,253.94,253.94,1380
"24","2019-07-02",251.395,251.6,251.03,251.03,251.03,1400
"25","2019-07-01",250.965,250.965,250.965,250.965,250.965,0
"26","2019-06-28",246.57,246.885,246.57,246.885,246.885,0
"27","2019-06-27",246.69,246.69,245.825,245.825,245.825,1097
"28","2019-06-26",246.095,246.095,245.755,245.755,245.755,0
"29","2019-06-25",247.2,247.2,246.78,246.78,246.78,0
"30","2019-06-24",248.78,248.78,248.175,248.175,248.175,0
"31","2019-06-21",250.48,250.48,249.415,250.43,250.43,7
"32","2019-06-20",250.35,250.35,249.91,249.91,249.91,0
"33","2019-06-19",250.085,250.085,249.26,249.26,249.26,0
"34","2019-06-18",246.345,250.605,246.345,250.19,250.19,2005
"35","2019-06-17",247.15,247.15,246.25,246.76,246.76,814
"36","2019-06-14",245.185,246.42,245.185,246.42,246.42,0
"37","2019-06-13",244.015,245.16,244.015,245.16,245.16,0
"38","2019-06-12",243.155,243.85,243.155,243.755,243.755,931
"39","2019-06-11",244.74,245.715,244.535,244.535,244.535,378
"40","2019-06-10",243.96,245.53,243.96,245.53,245.53,84
"41","2019-06-07",242.12,242.975,241.455,242.91,242.91,20
"42","2019-06-06",240.98,240.98,240.36,240.36,240.36,0
"43","2019-06-05",238.525,239.41,238.525,239.41,239.41,0
"44","2019-06-04",233.315,237.335,233.315,237.335,237.335,18
"45","2019-06-03",234.845,235.36,234.055,235.36,235.36,1295
"46","2019-05-31",237.37,237.51,236.275,237.51,237.51,5
"47","2019-05-30",239.725,239.725,239.215,239.215,239.215,0
"48","2019-05-29",239.56,239.56,238.695,238.695,238.695,0
"49","2019-05-28",242.44,242.835,241.825,241.825,241.825,179
"50","2019-05-27",241.985,241.985,241.775,241.775,241.775,1023
"51","2019-05-24",241.935,241.935,241.2,241.2,241.2,0
"52","2019-05-23",243.82,243.82,241.59,241.59,241.59,0
"53","2019-05-22",245.285,245.285,245.11,245.175,245.175,1432
"54","2019-05-21",NA,NA,NA,NA,0,NA
"55","2019-05-20",245.735,245.735,243.605,243.8,243.8,10
"56","2019-05-17",245.525,246.7,245.525,246.7,246.7,72
"57","2019-05-16",242.925,247.155,242.925,247.155,247.155,70
"58","2019-05-15",242.7,243.315,241.24,243.315,243.315,1438
"59","2019-05-14",239.835,242.625,239.835,242.625,242.625,2435
"60","2019-05-13",244.37,244.37,239.315,239.47,239.47,2433
"61","2019-05-10",244.37,244.37,240.555,240.555,240.555,298
"62","2019-05-09",244.54,244.54,241.825,241.825,241.825,20
"63","2019-05-08",247.06,247.06,246.09,246.09,246.09,2110
"64","2019-05-07",249.445,249.445,247.07,247.07,247.07,2108
"65","2019-05-06",246.995,249.115,246.995,249.115,249.115,2106
"66","2019-05-03",250.78,250.78,250.78,250.78,250.78,2103
"67","2019-05-02",249.705,249.705,248.785,248.785,248.785,2102
"68","2019-04-30",250.915,250.915,249.925,249.925,249.925,2100
"69","2019-04-29",251.64,251.87,251.64,251.87,251.87,40
"70","2019-04-26",250.375,250.91,250.375,250.91,250.91,7
"71","2019-04-25",250.87,251.165,250.525,251.165,251.165,5
"72","2019-04-24",250,250.51,250,250.51,250.51,3215
"73","2019-04-23",247.09,249.64,247.09,249.64,249.64,40
"74","2019-04-18",244.565,246.36,244.565,246.245,246.245,221
"75","2019-04-17",245.96,245.96,245.125,245.125,245.125,14
"76","2019-04-16",245.855,246.215,245.855,246.215,246.215,28
"77","2019-04-15",245.435,245.435,245.195,245.195,245.195,27
"78","2019-04-12",244.71,244.955,244.71,244.955,244.955,11
"79","2019-04-11",244.8,245.01,244.8,245.01,245.01,9
"80","2019-04-10",244.19,244.52,244.19,244.52,244.52,5
"81","2019-04-09",245.46,245.46,243.945,243.945,243.945,3
"82","2019-04-08",245.635,245.635,245.005,245.005,245.005,1063
"83","2019-04-05",245.27,245.965,245.27,245.965,245.965,1002
"84","2019-04-04",244.245,245.085,244.245,244.475,244.475,1000
"85","2019-04-03",244.72,245.235,244.72,245.235,245.235,822
"86","2019-04-02",244.13,244.635,244.035,244.315,244.315,3618
"87","2019-04-01",242.355,243.24,242.25,243.24,243.24,179
"88","2019-03-29",240.015,240.48,239.86,240.48,240.48,1503
"89","2019-03-28",237.91,238.545,237.91,238.545,238.545,517
"90","2019-03-27",239.71,239.71,236.88,237.415,237.415,516
"91","2019-03-26",237.015,237.975,237.015,237.975,237.975,18
"92","2019-03-25",237.3,237.3,236,236,236,12
"93","2019-03-22",239.54,240.315,237.65,237.65,237.65,733
"94","2019-03-21",235.555,239.515,235.555,239.235,239.235,26
"95","2019-03-20",238.365,238.365,236.585,236.585,236.585,2190
"96","2019-03-19",238.75,239.96,238.75,239.62,239.62,800
"97","2019-03-18",237.805,238.05,237.805,237.96,237.96,2169
"98","2019-03-15",237.18,238.51,237.18,238.51,238.51,1161
"99","2019-03-14",237.305,237.54,237.305,237.54,237.54,40
"100","2019-03-13",236.16,237.595,236.15,237.595,237.595,39
"101","2019-03-12",236.415,236.415,235.815,236.21,236.21,674
"102","2019-03-11",233.465,235.765,233.465,235.765,235.765,282
"103","2019-03-08",233.155,233.155,231.305,231.99,231.99,2922
"104","2019-03-07",233.23,234.28,233.105,234.28,234.28,1182
"105","2019-03-06",235.315,235.315,234.36,234.36,234.36,221
"106","2019-03-05",235.26,235.825,235.245,235.825,235.825,47
"107","2019-03-04",236.7,237.21,235.32,235.32,235.32,297
"108","2019-03-01",234.915,235.14,234.18,234.18,234.18,25
"109","2019-02-28",233.43,234.03,233.43,234.03,234.03,48
"110","2019-02-27",233.39,233.775,232.905,233.775,233.775,5410
"111","2019-02-26",234.575,235.01,234.575,234.925,234.925,18
"112","2019-02-25",235.46,236.565,235.46,236.14,236.14,47
"113","2019-02-22",233.395,234.83,233.395,234.83,234.83,2232
"114","2019-02-21",234.775,234.775,233.415,233.415,233.415,771
"115","2019-02-20",233.685,233.87,233.595,233.595,233.595,769
"116","2019-02-19",234.26,234.26,233.625,233.625,233.625,1713
"117","2019-02-18",234.275,234.275,233.715,234.07,234.07,1711
"118","2019-02-15",230.92,234.13,230.92,234.13,234.13,513
"119","2019-02-14",233.365,233.365,231.475,231.475,231.475,511
"120","2019-02-13",231.865,233.005,231.865,232.18,232.18,960
"121","2019-02-12",230.155,230.92,230.15,230.92,230.92,65
"122","2019-02-11",227.765,229.065,227.765,228.88,228.88,1000
"123","2019-02-08",226.5,226.5,225.895,225.895,225.895,100
"124","2019-02-07",228.49,228.835,225.725,225.725,225.725,2715
"125","2019-02-06",228.21,228.705,227.985,228.705,228.705,147
"126","2019-02-05",226.685,228.54,226.685,228.095,228.095,1610
"127","2019-02-04",225.325,226.015,225.325,226.015,226.015,50
"128","2019-02-01",225.225,225.225,224.715,224.765,224.765,300
"129","2019-01-31",222.555,224.42,222.555,224.42,224.42,50
"130","2019-01-30",219.99,221.595,219.99,221.595,221.595,1633
"131","2019-01-29",219.155,220.365,219.155,219.575,219.575,1583
"132","2019-01-28",221.49,221.49,218.935,219.165,219.165,1651
"133","2019-01-25",222.515,222.515,222.39,222.4,222.4,15
"134","2019-01-24",220.405,221.15,220.405,221.15,221.15,3
"135","2019-01-23",220.17,220.35,219.71,219.71,219.71,40
"136","2019-01-22",222.26,222.26,221.445,221.53,221.53,1275
"137","2019-01-21",222.565,222.71,222.465,222.71,222.71,10
"138","2019-01-18",220.54,223.335,220.54,223.335,223.335,1558
"139","2019-01-17",217.175,218.955,217.175,218.955,218.955,13
"140","2019-01-16",217.94,218.655,217.94,218.49,218.49,11
"141","2019-01-15",215.14,216.895,214.74,216.895,216.895,1290
"142","2019-01-14",213.485,214.105,213.485,214.105,214.105,38
"143","2019-01-10",211.145,213.61,211.145,213.61,213.61,7
"144","2019-01-09",213.47,213.47,213.19,213.19,213.19,5
"145","2019-01-08",212.415,212.415,211.795,211.795,211.795,0
"146","2019-01-07",210.665,211.2,209.86,211.17,211.17,1342
"147","2019-01-04",206.045,209.57,206.045,209.57,209.57,33
"148","2019-01-03",206.755,207.85,205.15,205.15,205.15,9192
"149","2019-01-02",204.825,209.315,204.825,209.315,209.315,1571
"150","2018-12-31",NA,NA,NA,NA,0,NA
"151","2018-12-28",205.94,207.335,205.635,206.45,206.45,4410
"152","2018-12-27",204.415,204.415,202.9,202.9,202.9,0
"153","2018-12-24",205.905,205.905,205.905,205.905,205.905,0
"154","2018-12-21",205.3,208.34,204.605,205.905,205.905,9880
"155","2018-12-20",206.645,208.55,206.19,206.19,206.19,7441
"156","2018-12-19",212.32,212.865,212.12,212.865,212.865,2292
"157","2018-12-18",213.535,213.56,213.535,213.56,213.56,0
"158","2018-12-17",218.41,218.41,217.005,217.005,217.005,261
"159","2018-12-14",219.45,220.895,219.45,220.38,220.38,6858
"160","2018-12-13",222.615,222.615,221.605,221.915,221.915,1094
"161","2018-12-12",221.84,223.285,221.84,223.285,223.285,0
"162","2018-12-11",219.97,223.3,219.865,222.025,222.025,2657
"163","2018-12-10",218.34,219.66,216.325,216.325,216.325,12395
"164","2018-12-07",222.955,223.27,221.29,221.29,221.29,42
"165","2018-12-06",224.23,224.23,218.91,219.625,219.625,80
"166","2018-12-05",226.925,227.2,226.305,226.305,226.305,2099
"167","2018-12-04",231.57,231.57,231.16,231.16,231.16,48
"168","2018-12-03",NA,NA,NA,NA,0,NA
"169","2018-11-30",228.15,229.26,228.15,229.26,229.26,0
"170","2018-11-29",227.865,227.865,226.965,227.675,227.675,3251
"171","2018-11-28",225.73,226.435,225.73,226.215,226.215,500
"172","2018-11-27",223.725,224.39,222.72,224.37,224.37,4531
