Name,Type,Asset,ID,Lots,Open,Close,Entry,Exit,Profit,Roll,ExitType
H4,Short,EUR/USD,480001,1,2007-10-16 10:00,2007-10-16 14:00,1.41677,1.41778,-1.01,0.00,Reverse
H1,Long,SPX500,481104,1,2007-10-16 21:00,2007-10-16 23:00,1546.00,1547.50,1.31,0.00,Reverse
H1,Short,USD/JPY,480703,1,2007-10-16 17:00,2007-10-17 03:00,116.6900,116.4890,1.47,0.00,Reverse
H1,Short,SPX500,481305,1,2007-10-16 23:00,2007-10-17 05:00,1547.50,1543.80,3.22,0.00,Reverse
H4,Long,EUR/USD,480402,1,2007-10-16 14:00,2007-10-17 10:00,1.41778,1.41789,0.11,0.00,Reverse
H1,Long,USD/JPY,481706,1,2007-10-17 03:00,2007-10-17 11:00,116.4890,116.8390,2.56,0.00,Reverse
H1,Long,SPX500,481907,1,2007-10-17 05:00,2007-10-17 14:00,1543.80,1549.30,4.79,0.00,Reverse
H1,Short,SPX500,482812,1,2007-10-17 14:00,2007-10-17 17:00,1549.30,1537.20,10.54,0.00,Reverse
H1,Short,USD/JPY,482511,1,2007-10-17 11:00,2007-10-17 18:00,116.8390,116.3500,3.58,0.00,Reverse
H1,Long,USD/JPY,483214,1,2007-10-17 18:00,2007-10-18 01:00,116.3500,116.5090,1.16,0.00,Reverse
H1,Long,SPX500,483113,1,2007-10-17 17:00,2007-10-18 01:00,1537.20,1543.70,5.66,0.00,Reverse
H4,Short,SPX500,482008,1,2007-10-17 06:00,2007-10-18 10:00,1545.10,1545.20,-0.09,0.00,Reverse
H1,Short,USD/JPY,483916,1,2007-10-18 01:00,2007-10-18 11:00,116.5090,116.0580,3.30,0.00,Reverse
H1,Short,SPX500,483917,1,2007-10-18 01:00,2007-10-18 12:00,1543.70,1538.00,4.96,0.00,Reverse
H1,Short,EUR/USD,484418,1,2007-10-18 06:00,2007-10-18 19:00,1.42319,1.42939,-6.20,0.00,Reverse
H1,Long,USD/JPY,484920,1,2007-10-18 11:00,2007-10-18 20:00,116.0580,115.6400,-3.06,0.00,Reverse
H1,Long,SPX500,485021,1,2007-10-18 12:00,2007-10-18 21:00,1538.00,1539.50,1.31,0.00,Reverse
H4,Short,USD/JPY,483215,1,2007-10-17 18:00,2007-10-18 22:00,116.3500,115.6130,5.40,0.00,Reverse
H1,Short,SPX500,485924,1,2007-10-18 21:00,2007-10-19 05:00,1539.50,1533.40,5.31,0.00,Reverse
H1,Short,USD/JPY,485823,1,2007-10-18 20:00,2007-10-19 06:00,115.6400,114.9940,4.73,0.00,Reverse
H1,Long,USD/JPY,486827,1,2007-10-19 06:00,2007-10-19 09:00,114.9940,115.1590,1.21,0.00,Reverse
H1,Long,SPX500,486726,1,2007-10-19 05:00,2007-10-19 12:00,1533.40,1535.40,1.74,0.00,Reverse
H1,Short,USD/JPY,487128,1,2007-10-19 09:00,2007-10-19 17:00,115.1590,115.1400,0.14,0.00,Reverse
H1,Short,SPX500,487429,1,2007-10-19 12:00,2007-10-19 17:00,1535.40,1520.50,12.98,0.00,Reverse
H1,Long,EUR/USD,485722,1,2007-10-18 19:00,2007-10-21 23:00,1.42939,1.43304,3.65,0.00,Reverse
H4,Short,EUR/USD,482409,1,2007-10-17 10:00,2007-10-22 01:00,1.41789,1.43341,-15.52,0.00,Reverse
